Team,PTS,OPTS,REB,GP,Rank,Conference
Atlanta Hawks,113.9,112.4,44,82,16,East
Boston Celtics,111.8,104.5,46.1,82,6,East
Brooklyn Nets,112.9,112.1,44.4,82,14,East
Charlotte Hornets,115.3,114.9,44.6,82,17,East
Chicago Bulls,111.6,112,42.3,82,13,East
Cleveland Cavaliers,107.8,105.7,44.2,82,15,East
Dallas Mavericks,108,104.7,43,82,5,West
Denver Nuggets,112.7,110.4,44.1,82,11,West
Detroit Pistons,104.8,112.5,43,82,28,East
Golden State Warriors,111,105.5,45.5,82,4,West
Houston Rockets,109.7,118.2,42,82,30,West
Indiana Pacers,111.5,114.9,43.9,82,26,East
Los Angeles Clippers,108.4,108.4,44,82,18,West
Los Angeles Lakers,112.1,115.1,44,82,23,West
Memphis Grizzlies,115.6,109.9,49.2,82,2,West
Miami Heat,110,105.6,43.7,82,3,East
Milwaukee Bucks,115.5,112.1,46.7,82,7,East
Minnestoa Timberwolves,115.9,113.3,44.2,82,12,West
New Orleans Pelicans,109.3,110.3,45.2,82,20,West
New York Knicks,106.5,106.6,46.1,82,19,East
Oklahoma City Thunder,103.7,111.8,45.6,82,27,West
Orlando Magic,104.2,112.2,44.3,82,29,East
Philadelphia 76ers,109.9,107.3,42.3,82,8,East
Phoenix Suns,114.8,107.3,45.3,82,1,West
Portland Trail Blazers,106.2,115.1,42.9,82,25,West
Sacramento Kings,110.3,115.8,42.9,82,24,West
San Antonio Spurs,113.2,113,45.3,82,22,West
Toronto Raptors,109.4,107.1,45.3,82,10,East
Utah Jazz,113.6,107.6,46.3,82,9,West
Washington Wizards,108.6,112,43.1,82,21,East
